Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description
hourglass-sculpting-body-shaper-suit,"Hourglass Sculpting Body Shaper Suit","<p>Experience instant 360° waist contouring with the Hourglass Sculpting Body Shaper Suit. Engineered with ultra-soft breathable microfiber and targeted double-layer compression, this seamless bodysuit smooths your waistline, lifts your bust, and sculpts your curves seamlessly under any outfit.</p><ul><li>Targeted double-layer tummy control</li><li>Adjustable anti-slip shoulder straps</li><li>Comfortable crotch opening for easy bathroom access</li><li>Anti-rolling silicone grip technology</li></ul>","ConvertStudio","Shapewear Bodysuits","Best Seller, Bodysuit, Tummy Control, Shapewear",TRUE,Size,S,Color,Nude,CS-HSB-S-N,150,shopify,100,deny,manual,49.99,89.99,TRUE,TRUE,https://images.unsplash.com/photo-1578632767115-351597cf2477?w=800,1,Hourglass Sculpting Body Shaper Suit,Hourglass Sculpting Body Shaper Suit | ConvertStudio,Instant waist slimming and seamless body sculpting bodysuit. Shop now for fast shipping!
hourglass-sculpting-body-shaper-suit,"Hourglass Sculpting Body Shaper Suit","","ConvertStudio","Shapewear Bodysuits","Best Seller, Bodysuit, Tummy Control, Shapewear",TRUE,Size,M,Color,Nude,CS-HSB-M-N,150,shopify,100,deny,manual,49.99,89.99,TRUE,TRUE,,,,,,
hourglass-sculpting-body-shaper-suit,"Hourglass Sculpting Body Shaper Suit","","ConvertStudio","Shapewear Bodysuits","Best Seller, Bodysuit, Tummy Control, Shapewear",TRUE,Size,L,Color,Black,CS-HSB-L-B,150,shopify,100,deny,manual,49.99,89.99,TRUE,TRUE,,,,,,
instanttuck-high-waisted-tummy-shaper-shorts,"InstantTuck High-Waisted Tummy Shaper Shorts","<p>Flawless smoothness under any dress or pants! The InstantTuck High-Waisted Shaper Shorts feature built-in flexible steel boning to prevent rolling down while flattening your abdomen and lifting your rear.</p><ul><li>Flexible anti-roll steel side boning</li><li>Anti-chafing mid-thigh length design</li><li>High-stretch breathable nylon blend</li></ul>","ConvertStudio","Shaper Shorts","Best Seller, Shorts, Tummy Control",TRUE,Size,S,Color,Black,CS-ITSS-S-B,120,shopify,150,deny,manual,34.99,65.00,TRUE,TRUE,https://images.unsplash.com/photo-1583496661160-fb5886a0aaaa?w=800,1,InstantTuck High-Waisted Tummy Shaper Shorts,InstantTuck High-Waisted Tummy Shaper Shorts | ConvertStudio,Get instant tummy control and anti-chafing comfort under dresses.
instanttuck-high-waisted-tummy-shaper-shorts,"InstantTuck High-Waisted Tummy Shaper Shorts","","ConvertStudio","Shaper Shorts","Best Seller, Shorts, Tummy Control",TRUE,Size,M,Color,Nude,CS-ITSS-M-N,120,shopify,150,deny,manual,34.99,65.00,TRUE,TRUE,,,,,,
ultralift-seamless-full-body-compression-suit,"UltraLift Seamless Full Body Compression Suit","<p>Full-body transformation with complete comfort. The UltraLift Full Body Suit offers firm compression from bust to knee, slimming the torso, thighs, and back for a smooth silhouette.</p><ul><li>Open-bust design to wear with your favorite bra</li><li>Full midsection and thigh compression</li><li>Seamless invisible edges</li></ul>","ConvertStudio","Full Body Shapers","Full Body, Compression, Seamless",TRUE,Size,M,Color,Cocoa,CS-ULFS-M-C,200,shopify,80,deny,manual,59.99,110.00,TRUE,TRUE,https://images.unsplash.com/photo-1515886657613-9f3515b0c78f?w=800,1,UltraLift Seamless Full Body Compression Suit,UltraLift Seamless Full Body Compression Suit | ConvertStudio,Firm full-body compression shaper for ultimate silhouette smoothing.
bootylift-firming-butt-lifter-shorts,"BootyLift Firming Butt-Lifter Shorts","<p>Enhance your natural curves effortlessly! BootyLift Shorts combine targeted tummy compression with specialized glute-lifting bands to give your rear a natural round boost.</p><ul><li>Ergonomic glute lifting structure</li><li>High waist tummy flattening panel</li><li>Invisible panty lines technology</li></ul>","ConvertStudio","Butt Lifters","Butt Lifter, Shorts, Shapewear",TRUE,Size,S,Color,Black,CS-BLS-S-B,130,shopify,120,deny,manual,39.99,74.99,TRUE,TRUE,https://images.unsplash.com/photo-1509631179647-0177331693ae?w=800,1,BootyLift Firming Butt-Lifter Shorts,BootyLift Firming Butt-Lifter Shorts | ConvertStudio,Lift your glutes and smooth your waist with our bestselling butt lifter shorts.
silkycurves-strapless-backless-body-shaper,"SilkyCurves Strapless Backless Body Shaper","<p>The ultimate solution for backless, strapless, and deep-plunge outfits. SilkyCurves offers invisible support and shaping with clear convertible straps and a low-back design.</p><ul><li>Plunging neckline with backless design</li><li>Clear removable straps included</li><li>Padded underwire cups for lift</li></ul>","ConvertStudio","Backless Shapers","Backless, Strapless, Bridal, Shapewear",TRUE,Size,S,Color,Nude,CS-SCS-S-N,160,shopify,90,deny,manual,44.99,79.99,TRUE,TRUE,https://images.unsplash.com/photo-1566174053879-31528523f8ae?w=800,1,SilkyCurves Strapless Backless Body Shaper,SilkyCurves Strapless Backless Body Shaper | ConvertStudio,Perfect invisible backless body shaper for evening gowns and wedding dresses.
flexslim-waist-trainer-cinch-belt,"FlexSlim Waist Trainer Cinch Belt","<p>Maximize your workout and instantly cinch your waistline. The FlexSlim Waist Trainer features flexi-steel boning and 3 hook-and-eye rows to customize your waist compression.</p><ul><li>3 rows of adjustable hook closures</li><li>Flexi-steel spiral boning for lumbar support</li><li>Therma-latex core increases sweat generation</li></ul>","ConvertStudio","Waist Trainers","Waist Trainer, Cinch, Workout",TRUE,Size,M,Color,Black,CS-FSWT-M-B,250,shopify,200,deny,manual,29.99,54.99,TRUE,TRUE,https://images.unsplash.com/photo-1518310383802-640c2de311b2?w=800,1,FlexSlim Waist Trainer Cinch Belt,FlexSlim Waist Trainer Cinch Belt | ConvertStudio,Instant waist cinching trainer with triple-hook adjustments and flex-boning.
smoothfit-posture-support-compression-camisole,"SmoothFit Posture Support Compression Camisole","<p>Improve posture while smoothing love handles and back rolls. SmoothFit Camisole features criss-cross back reinforcement and all-day stretch compression.</p><ul><li>X-shape back posture corrector</li><li>Bust-supportive molded design</li><li>Seamless smooth compression fabric</li></ul>","ConvertStudio","Shaping Tops","Camisole, Posture, Shapewear",TRUE,Size,L,Color,Black,CS-SFC-L-B,140,shopify,110,deny,manual,36.99,68.00,TRUE,TRUE,https://images.unsplash.com/photo-1503342217505-b0a15ec3261c?w=800,1,SmoothFit Posture Support Compression Camisole,SmoothFit Posture Support Compression Camisole | ConvertStudio,Posture-correcting shaping tank top for back support and torso smoothing.
comfysculpt-mid-thigh-shaping-bodysuit,"ComfySculpt Mid-Thigh Shaping Bodysuit","<p>Designed for 12-hour daily comfort. ComfySculpt features ultra-breathable cooling fabric with medium firm control for everyday wear under workwear and casual outfits.</p><ul><li>Breathable moisture-wicking material</li><li>Mid-thigh anti-chafing length</li><li>Soft cotton crotch lining</li></ul>","ConvertStudio","Shapewear Bodysuits","Bodysuit, Everyday, Shapewear",TRUE,Size,M,Color,Rose Gold,CS-CSMS-M-RG,160,shopify,95,deny,manual,52.99,95.00,TRUE,TRUE,https://images.unsplash.com/photo-1496747611176-843222e1e57c?w=800,1,ComfySculpt Mid-Thigh Shaping Bodysuit,ComfySculpt Mid-Thigh Shaping Bodysuit | ConvertStudio,All-day comfortable mid-thigh shaping bodysuit for everyday smoothing.
zerolines-seamless-thong-shaper,"ZeroLines Seamless Thong Shaper","<p>Zero panty lines guarantee! The ZeroLines Thong Shaper combines a high-rise tummy control panel with a laser-cut thong back so you can wear tight pants and skirts worry-free.</p><ul><li>High-waist double panel tummy compression</li><li>Laser-cut zero line thong back</li><li>Stay-put silicone waistband</li></ul>","ConvertStudio","Shaping Thongs","Thong, Seamless, NVPL",TRUE,Size,S,Color,Nude,CS-ZLTS-S-N,90,shopify,180,deny,manual,27.99,49.99,TRUE,TRUE,https://images.unsplash.com/photo-1485230895905-ec40ba36b9bc?w=800,1,ZeroLines Seamless Thong Shaper,ZeroLines Seamless Thong Shaper | ConvertStudio,High-waist tummy tucking shaping thong with zero panty lines.
luxecontour-firm-control-thigh-waist-cincher,"LuxeContour Firm Control Thigh & Waist Cincher","<p>Luxury meets maximum control. LuxeContour features double-layer targeted midsection panels and elegant delicate lace trim that lays flat against thighs without cutting in.</p><ul><li>Targeted dual midsection control</li><li>Elegantly finished lace anti-slip leg trim</li><li>Silky soft touch fabric</li></ul>","ConvertStudio","Shaper Shorts","Lace, Luxury, Firm Control",TRUE,Size,L,Color,Black,CS-LCFC-L-B,140,shopify,85,deny,manual,41.99,78.00,TRUE,TRUE,https://images.unsplash.com/photo-1529139574466-a303027c1d8b?w=800,1,LuxeContour Firm Control Thigh & Waist Cincher,LuxeContour Firm Control Thigh & Waist Cincher | ConvertStudio,Luxury firm control waist & thigh cincher with elegant lace thigh finish.
